,interval_from,interval_to,default_NO2_min,default_NO2_max,default_NO2_mean,default_NO2_stDev,default_NO2_sampleCount,default_NO2_noDataCount,year,month
30,2020-06-26,2020-06-27,1.6170411981875077e-05,1.6170411981875077e-05,1.6170411981875077e-05,0.0,1,0,2020,6
31,2020-07-01,2020-07-02,1.7354674128000624e-05,1.7354674128000624e-05,1.7354674128000624e-05,0.0,1,0,2020,7
32,2020-07-07,2020-07-08,2.317839789611753e-05,2.317839789611753e-05,2.317839789611753e-05,0.0,1,0,2020,7
33,2020-07-17,2020-07-18,5.368997790355934e-06,5.368997790355934e-06,5.368997790355934e-06,0.0,1,0,2020,7
34,2020-08-24,2020-08-25,2.9365142836468294e-05,2.9365142836468294e-05,2.9365142836468294e-05,0.0,1,0,2020,8
35,2020-09-08,2020-09-09,3.258137439843267e-05,3.258137439843267e-05,3.258137439843267e-05,0.0,1,0,2020,9
36,2020-10-10,2020-10-11,2.475546170899179e-05,2.475546170899179e-05,2.475546170899179e-05,0.0,1,0,2020,10
37,2020-10-11,2020-10-12,1.8970853489008732e-05,1.8970853489008732e-05,1.8970853489008732e-05,0.0,1,0,2020,10
38,2020-10-21,2020-10-22,3.2313349947799e-05,3.2313349947799e-05,3.2313349947799e-05,0.0,1,0,2020,10
39,2020-10-26,2020-10-27,4.0057228034129366e-05,4.0057228034129366e-05,4.0057228034129366e-05,0.0,1,0,2020,10
40,2020-10-27,2020-10-28,2.4473903977195732e-05,2.4473903977195732e-05,2.4473903977195732e-05,0.0,1,0,2020,10
41,2020-11-01,2020-11-02,2.9729648304055445e-05,2.9729648304055445e-05,2.9729648304055445e-05,0.0,1,0,2020,11
42,2020-11-06,2020-11-07,5.5127256928244606e-05,5.5127256928244606e-05,5.5127256928244606e-05,0.0,1,0,2020,11
43,2020-11-17,2020-11-18,2.5594292310415767e-05,2.5594292310415767e-05,2.5594292310415767e-05,0.0,1,0,2020,11
44,2020-11-22,2020-11-23,9.582273196429014e-05,9.582273196429014e-05,9.582273196429014e-05,0.0,1,0,2020,11
45,2020-11-28,2020-11-29,2.8395295885275118e-05,2.8395295885275118e-05,2.8395295885275118e-05,0.0,1,0,2020,11
46,2020-12-03,2020-12-04,0.0001666066236793995,0.0001666066236793995,0.0001666066236793995,0.0,1,0,2020,12
47,2020-12-08,2020-12-09,6.808843318140134e-05,6.808843318140134e-05,6.808843318140134e-05,0.0,1,0,2020,12
48,2020-12-19,2020-12-20,4.413592250784859e-05,4.413592250784859e-05,4.413592250784859e-05,0.0,1,0,2020,12
49,2020-12-24,2020-12-25,0.00014433353499043733,0.00014433353499043733,0.00014433353499043733,0.0,1,0,2020,12
50,2020-12-29,2020-12-30,4.7836070734774694e-05,4.7836070734774694e-05,4.7836070734774694e-05,0.0,1,0,2020,12
51,2020-12-30,2020-12-31,3.043938340852037e-05,3.043938340852037e-05,3.043938340852037e-05,0.0,1,0,2020,12
0,2021-01-04,2021-01-05,3.606349491747096e-05,3.606349491747096e-05,3.606349491747096e-05,0.0,1,0,2021,1
1,2021-01-09,2021-01-10,3.3402786357328296e-05,3.3402786357328296e-05,3.3402786357328296e-05,0.0,1,0,2021,1
2,2021-01-14,2021-01-15,5.807871639262885e-05,5.807871639262885e-05,5.807871639262885e-05,0.0,1,0,2021,1
3,2021-01-15,2021-01-16,1.581291144248098e-05,1.581291144248098e-05,1.581291144248098e-05,0.0,1,0,2021,1
4,2021-01-20,2021-01-21,4.417656600708142e-05,4.417656600708142e-05,4.417656600708142e-05,0.0,1,0,2021,1
5,2021-01-25,2021-01-26,3.5052911698585376e-05,3.5052911698585376e-05,3.5052911698585376e-05,0.0,1,0,2021,1
6,2021-01-30,2021-01-31,8.920514665078372e-05,8.920514665078372e-05,8.920514665078372e-05,0.0,1,0,2021,1
7,2021-01-31,2021-02-01,5.991271245875396e-05,5.991271245875396e-05,5.991271245875396e-05,0.0,1,0,2021,1
8,2021-02-05,2021-02-06,2.002863220695872e-05,2.002863220695872e-05,2.002863220695872e-05,0.0,1,0,2021,2
9,2021-02-10,2021-02-11,4.931145303999074e-05,4.931145303999074e-05,4.931145303999074e-05,0.0,1,0,2021,2
10,2021-02-15,2021-02-16,5.2238228818168864e-05,5.2238228818168864e-05,5.2238228818168864e-05,0.0,1,0,2021,2
11,2021-02-21,2021-02-22,4.13950729125645e-05,4.13950729125645e-05,4.13950729125645e-05,0.0,1,0,2021,2
12,2021-02-26,2021-02-27,5.430269811768085e-05,5.430269811768085e-05,5.430269811768085e-05,0.0,1,0,2021,2
13,2021-03-03,2021-03-04,5.010639870306477e-05,5.010639870306477e-05,5.010639870306477e-05,0.0,1,0,2021,3
14,2021-03-04,2021-03-05,8.45348258735612e-05,8.45348258735612e-05,8.45348258735612e-05,0.0,1,0,2021,3
15,2021-03-09,2021-03-10,3.474631375866011e-05,3.474631375866011e-05,3.474631375866011e-05,0.0,1,0,2021,3
16,2021-03-14,2021-03-15,4.1424140363233164e-05,4.1424140363233164e-05,4.1424140363233164e-05,0.0,1,0,2021,3
17,2021-03-25,2021-03-26,6.922006286913529e-05,6.922006286913529e-05,6.922006286913529e-05,0.0,1,0,2021,3
18,2021-03-30,2021-03-31,4.6195924369385466e-05,4.6195924369385466e-05,4.6195924369385466e-05,0.0,1,0,2021,3
19,2021-04-04,2021-04-05,2.1695212126360275e-05,2.1695212126360275e-05,2.1695212126360275e-05,0.0,1,0,2021,4
20,2021-04-05,2021-04-06,3.640436989371665e-05,3.640436989371665e-05,3.640436989371665e-05,0.0,1,0,2021,4
21,2021-04-10,2021-04-11,1.722770139167551e-05,1.722770139167551e-05,1.722770139167551e-05,0.0,1,0,2021,4
22,2021-04-20,2021-04-21,2.1667217879439704e-05,2.1667217879439704e-05,2.1667217879439704e-05,0.0,1,0,2021,4
23,2021-04-21,2021-04-22,2.8657928851316683e-05,2.8657928851316683e-05,2.8657928851316683e-05,0.0,1,0,2021,4
24,2021-04-26,2021-04-27,3.292294786660932e-05,3.292294786660932e-05,3.292294786660932e-05,0.0,1,0,2021,4
25,2021-05-01,2021-05-02,2.2828400688013062e-05,2.2828400688013062e-05,2.2828400688013062e-05,0.0,1,0,2021,5
26,2021-05-06,2021-05-07,3.082950570387766e-05,3.082950570387766e-05,3.082950570387766e-05,0.0,1,0,2021,5
27,2021-05-07,2021-05-08,2.6616029572323896e-05,2.6616029572323896e-05,2.6616029572323896e-05,0.0,1,0,2021,5
28,2021-05-12,2021-05-13,1.876426176750101e-05,1.876426176750101e-05,1.876426176750101e-05,0.0,1,0,2021,5
29,2021-05-17,2021-05-18,1.3262982974993065e-05,1.3262982974993065e-05,1.3262982974993065e-05,0.0,1,0,2021,5
30,2021-05-22,2021-05-23,3.608142287703231e-05,3.608142287703231e-05,3.608142287703231e-05,0.0,1,0,2021,5
31,2021-05-28,2021-05-29,2.064153886749409e-05,2.064153886749409e-05,2.064153886749409e-05,0.0,1,0,2021,5
32,2021-06-07,2021-06-08,3.660414586192928e-05,3.660414586192928e-05,3.660414586192928e-05,0.0,1,0,2021,6
33,2021-06-29,2021-06-30,1.965965384442825e-05,1.965965384442825e-05,1.965965384442825e-05,0.0,1,0,2021,6
34,2021-07-25,2021-07-26,1.8170903786085546e-05,1.8170903786085546e-05,1.8170903786085546e-05,0.0,1,0,2021,7
35,2021-08-26,2021-08-27,2.7701171347871423e-05,2.7701171347871423e-05,2.7701171347871423e-05,0.0,1,0,2021,8
36,2021-09-28,2021-09-29,1.8633916624821723e-05,1.8633916624821723e-05,1.8633916624821723e-05,0.0,1,0,2021,9
37,2021-10-03,2021-10-04,2.850418968591839e-05,2.850418968591839e-05,2.850418968591839e-05,0.0,1,0,2021,10
38,2021-10-13,2021-10-14,2.6046029233839363e-05,2.6046029233839363e-05,2.6046029233839363e-05,0.0,1,0,2021,10
39,2021-10-14,2021-10-15,5.280922050587833e-05,5.280922050587833e-05,5.280922050587833e-05,0.0,1,0,2021,10
40,2021-10-19,2021-10-20,1.9817181964754127e-05,1.9817181964754127e-05,1.9817181964754127e-05,0.0,1,0,2021,10
41,2021-10-24,2021-10-25,6.459803898906102e-06,6.459803898906102e-06,6.459803898906102e-06,0.0,1,0,2021,10
42,2021-10-30,2021-10-31,2.0982402929803357e-05,2.0982402929803357e-05,2.0982402929803357e-05,0.0,1,0,2021,10
43,2021-11-09,2021-11-10,5.663238698616624e-05,5.663238698616624e-05,5.663238698616624e-05,0.0,1,0,2021,11
44,2021-11-25,2021-11-26,4.125278428546153e-05,4.125278428546153e-05,4.125278428546153e-05,0.0,1,0,2021,11
45,2021-11-30,2021-12-01,0.00011710086255334318,0.00011710086255334318,0.00011710086255334318,0.0,1,0,2021,11
46,2021-12-01,2021-12-02,3.34495744027663e-05,3.34495744027663e-05,3.34495744027663e-05,0.0,1,0,2021,12
47,2021-12-16,2021-12-17,0.00010659816325642169,0.00010659816325642169,0.00010659816325642169,0.0,1,0,2021,12
48,2021-12-17,2021-12-18,5.0472444854676723e-05,5.0472444854676723e-05,5.0472444854676723e-05,0.0,1,0,2021,12
49,2021-12-22,2021-12-23,5.8395711675984785e-05,5.8395711675984785e-05,5.8395711675984785e-05,0.0,1,0,2021,12
0,2022-01-01,2022-01-02,5.377838897402398e-05,5.377838897402398e-05,5.377838897402398e-05,0.0,1,0,2022,1
1,2022-01-02,2022-01-03,5.5031512601999566e-05,5.5031512601999566e-05,5.5031512601999566e-05,0.0,1,0,2022,1
2,2022-01-07,2022-01-08,1.6109150237753056e-05,1.6109150237753056e-05,1.6109150237753056e-05,0.0,1,0,2022,1
3,2022-01-17,2022-01-18,8.341748616658151e-05,8.341748616658151e-05,8.341748616658151e-05,0.0,1,0,2022,1
4,2022-01-18,2022-01-19,4.136705319979228e-05,4.136705319979228e-05,4.136705319979228e-05,0.0,1,0,2022,1
5,2022-01-23,2022-01-24,5.622570097330026e-05,5.622570097330026e-05,5.622570097330026e-05,0.0,1,0,2022,1
6,2022-01-28,2022-01-29,6.189920532051474e-05,6.189920532051474e-05,6.189920532051474e-05,0.0,1,0,2022,1
7,2022-02-02,2022-02-03,3.9809376175981015e-05,3.9809376175981015e-05,3.9809376175981015e-05,0.0,1,0,2022,2
8,2022-02-03,2022-02-04,2.198745460191276e-05,2.198745460191276e-05,2.198745460191276e-05,0.0,1,0,2022,2
9,2022-02-08,2022-02-09,5.040613541495986e-05,5.040613541495986e-05,5.040613541495986e-05,0.0,1,0,2022,2
10,2022-02-13,2022-02-14,4.1566265281289816e-05,4.1566265281289816e-05,4.1566265281289816e-05,0.0,1,0,2022,2
11,2022-02-18,2022-02-19,2.2008334781276062e-05,2.2008334781276062e-05,2.2008334781276062e-05,0.0,1,0,2022,2
12,2022-02-24,2022-02-25,1.624681317480281e-05,1.624681317480281e-05,1.624681317480281e-05,0.0,1,0,2022,2
13,2022-03-01,2022-03-02,1.365940352116013e-05,1.365940352116013e-05,1.365940352116013e-05,0.0,1,0,2022,3
14,2022-03-06,2022-03-07,3.9812653994886205e-05,3.9812653994886205e-05,3.9812653994886205e-05,0.0,1,0,2022,3
15,2022-03-07,2022-03-08,6.208552804309875e-05,6.208552804309875e-05,6.208552804309875e-05,0.0,1,0,2022,3
16,2022-03-12,2022-03-13,5.057900125393644e-05,5.057900125393644e-05,5.057900125393644e-05,0.0,1,0,2022,3
17,2022-03-17,2022-03-18,6.33582822047174e-05,6.33582822047174e-05,6.33582822047174e-05,0.0,1,0,2022,3
18,2022-03-22,2022-03-23,6.83856414980255e-05,6.83856414980255e-05,6.83856414980255e-05,0.0,1,0,2022,3
19,2022-03-23,2022-03-24,7.152140460675582e-05,7.152140460675582e-05,7.152140460675582e-05,0.0,1,0,2022,3
20,2022-03-28,2022-03-29,6.111792026786134e-05,6.111792026786134e-05,6.111792026786134e-05,0.0,1,0,2022,3
21,2022-04-02,2022-04-03,3.806964014074765e-05,3.806964014074765e-05,3.806964014074765e-05,0.0,1,0,2022,4
22,2022-04-07,2022-04-08,4.210739643895067e-05,4.210739643895067e-05,4.210739643895067e-05,0.0,1,0,2022,4
23,2022-04-08,2022-04-09,3.683280010591261e-05,3.683280010591261e-05,3.683280010591261e-05,0.0,1,0,2022,4
24,2022-04-13,2022-04-14,1.241781865246594e-05,1.241781865246594e-05,1.241781865246594e-05,0.0,1,0,2022,4
25,2022-04-18,2022-04-19,2.5943094442482106e-05,2.5943094442482106e-05,2.5943094442482106e-05,0.0,1,0,2022,4
26,2022-04-23,2022-04-24,3.491948154987767e-05,3.491948154987767e-05,3.491948154987767e-05,0.0,1,0,2022,4
27,2022-04-24,2022-04-25,2.0454997866181657e-05,2.0454997866181657e-05,2.0454997866181657e-05,0.0,1,0,2022,4
28,2022-04-29,2022-04-30,2.6337727831560187e-05,2.6337727831560187e-05,2.6337727831560187e-05,0.0,1,0,2022,4
29,2022-05-04,2022-05-05,2.295252306794282e-05,2.295252306794282e-05,2.295252306794282e-05,0.0,1,0,2022,5
30,2022-05-09,2022-05-10,2.521018723200541e-05,2.521018723200541e-05,2.521018723200541e-05,0.0,1,0,2022,5
31,2022-05-10,2022-05-11,1.8105303752236068e-05,1.8105303752236068e-05,1.8105303752236068e-05,0.0,1,0,2022,5
32,2022-05-15,2022-05-16,3.2006755645852536e-05,3.2006755645852536e-05,3.2006755645852536e-05,0.0,1,0,2022,5
33,2022-05-20,2022-05-21,1.798355697246734e-05,1.798355697246734e-05,1.798355697246734e-05,0.0,1,0,2022,5
34,2022-05-25,2022-05-26,3.9100388676160946e-05,3.9100388676160946e-05,3.9100388676160946e-05,0.0,1,0,2022,5
35,2022-05-31,2022-06-01,6.029518408467993e-05,6.029518408467993e-05,6.029518408467993e-05,0.0,1,0,2022,5
36,2022-06-05,2022-06-06,8.20743662188761e-05,8.20743662188761e-05,8.20743662188761e-05,0.0,1,0,2022,6
37,2022-06-11,2022-06-12,5.1349274144740775e-05,5.1349274144740775e-05,5.1349274144740775e-05,0.0,1,0,2022,6
38,2022-06-26,2022-06-27,1.4678414117952343e-05,1.4678414117952343e-05,1.4678414117952343e-05,0.0,1,0,2022,6
39,2022-06-27,2022-06-28,3.0910567147657275e-05,3.0910567147657275e-05,3.0910567147657275e-05,0.0,1,0,2022,6
40,2022-07-27,2022-07-28,1.5015838471299503e-05,1.5015838471299503e-05,1.5015838471299503e-05,0.0,1,0,2022,7
41,2022-07-29,2022-07-30,1.3020250662520994e-05,1.3020250662520994e-05,1.3020250662520994e-05,0.0,1,0,2022,7
42,2022-07-30,2022-07-31,1.9237655578763224e-05,1.9237655578763224e-05,1.9237655578763224e-05,0.0,1,0,2022,7
43,2022-07-31,2022-08-01,2.9785654987790622e-05,2.9785654987790622e-05,2.9785654987790622e-05,0.0,1,0,2022,7
44,2022-08-16,2022-08-17,4.571608769765589e-06,4.571608769765589e-06,4.571608769765589e-06,0.0,1,0,2022,8
45,2022-08-17,2022-08-18,9.172547834168654e-06,9.172547834168654e-06,9.172547834168654e-06,0.0,1,0,2022,8
46,2022-08-23,2022-08-24,1.777478064468596e-05,1.777478064468596e-05,1.777478064468596e-05,0.0,1,0,2022,8
47,2022-08-25,2022-08-26,4.2723950173240155e-05,4.2723950173240155e-05,4.2723950173240155e-05,0.0,1,0,2022,8
48,2022-08-26,2022-08-27,3.78092190658208e-05,3.78092190658208e-05,3.78092190658208e-05,0.0,1,0,2022,8
49,2022-08-27,2022-08-28,2.2591077140532434e-05,2.2591077140532434e-05,2.2591077140532434e-05,0.0,1,0,2022,8
50,2022-08-31,2022-09-01,1.708471063466277e-05,1.708471063466277e-05,1.708471063466277e-05,0.0,1,0,2022,8
51,2022-09-01,2022-09-02,2.0174695237074047e-05,2.0174695237074047e-05,2.0174695237074047e-05,0.0,1,0,2022,9
52,2022-09-02,2022-09-03,7.691960490774363e-06,7.691960490774363e-06,7.691960490774363e-06,0.0,1,0,2022,9
53,2022-09-05,2022-09-06,1.0343833309889305e-05,1.0343833309889305e-05,1.0343833309889305e-05,0.0,1,0,2022,9
54,2022-09-06,2022-09-07,3.28420392179396e-05,3.28420392179396e-05,3.28420392179396e-05,0.0,1,0,2022,9
55,2022-09-09,2022-09-10,1.7310419934801757e-05,1.7310419934801757e-05,1.7310419934801757e-05,0.0,1,0,2022,9
56,2022-09-10,2022-09-11,1.3918695913162082e-05,1.3918695913162082e-05,1.3918695913162082e-05,0.0,1,0,2022,9
57,2022-09-13,2022-09-14,8.307698408316355e-06,8.307698408316355e-06,8.307698408316355e-06,0.0,1,0,2022,9
58,2022-09-15,2022-09-16,1.445092220819788e-05,1.445092220819788e-05,1.445092220819788e-05,0.0,1,0,2022,9
59,2022-09-22,2022-09-23,2.3713786504231393e-05,2.3713786504231393e-05,2.3713786504231393e-05,0.0,1,0,2022,9
60,2022-09-25,2022-09-26,3.459395520621911e-05,3.459395520621911e-05,3.459395520621911e-05,0.0,1,0,2022,9
61,2022-09-27,2022-09-28,2.8780525099136867e-05,2.8780525099136867e-05,2.8780525099136867e-05,0.0,1,0,2022,9
62,2022-10-02,2022-10-03,4.179418465355411e-05,4.179418465355411e-05,4.179418465355411e-05,0.0,1,0,2022,10
63,2022-10-06,2022-10-07,8.378495294891763e-06,8.378495294891763e-06,8.378495294891763e-06,0.0,1,0,2022,10
64,2022-10-08,2022-10-09,1.626218181627337e-05,1.626218181627337e-05,1.626218181627337e-05,0.0,1,0,2022,10
65,2022-10-10,2022-10-11,9.475281331106089e-06,9.475281331106089e-06,9.475281331106089e-06,0.0,1,0,2022,10
66,2022-10-12,2022-10-13,2.5976567485486157e-05,2.5976567485486157e-05,2.5976567485486157e-05,0.0,1,0,2022,10
67,2022-10-15,2022-10-16,2.9243312383187003e-05,2.9243312383187003e-05,2.9243312383187003e-05,0.0,1,0,2022,10
68,2022-10-16,2022-10-17,2.7101985324406996e-05,2.7101985324406996e-05,2.7101985324406996e-05,0.0,1,0,2022,10
69,2022-10-17,2022-10-18,1.5667326806578785e-05,1.5667326806578785e-05,1.5667326806578785e-05,0.0,1,0,2022,10
70,2022-10-19,2022-10-20,1.554291338834446e-05,1.554291338834446e-05,1.554291338834446e-05,0.0,1,0,2022,10
71,2022-10-20,2022-10-21,1.7811282305046916e-05,1.7811282305046916e-05,1.7811282305046916e-05,0.0,1,0,2022,10
72,2022-10-21,2022-10-22,4.766500205732882e-05,4.766500205732882e-05,4.766500205732882e-05,0.0,1,0,2022,10
73,2022-10-22,2022-10-23,2.5846768039627932e-05,2.5846768039627932e-05,2.5846768039627932e-05,0.0,1,0,2022,10
74,2022-10-23,2022-10-24,2.1809233658132143e-05,2.1809233658132143e-05,2.1809233658132143e-05,0.0,1,0,2022,10
75,2022-10-24,2022-10-25,2.4611485059722327e-05,2.4611485059722327e-05,2.4611485059722327e-05,0.0,1,0,2022,10
76,2022-10-25,2022-10-26,2.96944344881922e-05,2.96944344881922e-05,2.96944344881922e-05,0.0,1,0,2022,10
77,2022-10-26,2022-10-27,2.067292371066287e-05,2.067292371066287e-05,2.067292371066287e-05,0.0,1,0,2022,10
78,2022-10-27,2022-10-28,3.173420554958284e-05,3.173420554958284e-05,3.173420554958284e-05,0.0,1,0,2022,10
79,2022-10-28,2022-10-29,1.9105549654341303e-05,1.9105549654341303e-05,1.9105549654341303e-05,0.0,1,0,2022,10
80,2022-10-29,2022-10-30,5.4861167882336304e-05,5.4861167882336304e-05,5.4861167882336304e-05,0.0,1,0,2022,10
81,2022-10-30,2022-10-31,3.125681905657984e-05,3.125681905657984e-05,3.125681905657984e-05,0.0,1,0,2022,10
82,2022-10-31,2022-11-01,1.6328371202689596e-05,1.6328371202689596e-05,1.6328371202689596e-05,0.0,1,0,2022,10
83,2022-11-01,2022-11-02,2.624280023155734e-05,2.624280023155734e-05,2.624280023155734e-05,0.0,1,0,2022,11
84,2022-11-03,2022-11-04,6.0956019297009334e-05,6.0956019297009334e-05,6.0956019297009334e-05,0.0,1,0,2022,11
85,2022-11-04,2022-11-05,4.4159798562759534e-05,4.4159798562759534e-05,4.4159798562759534e-05,0.0,1,0,2022,11
86,2022-11-05,2022-11-06,2.645343374751974e-05,2.645343374751974e-05,2.645343374751974e-05,0.0,1,0,2022,11
87,2022-11-06,2022-11-07,1.2042605703754816e-05,1.2042605703754816e-05,1.2042605703754816e-05,0.0,1,0,2022,11
88,2022-11-07,2022-11-08,4.274304228601977e-05,4.274304228601977e-05,4.274304228601977e-05,0.0,1,0,2022,11
89,2022-11-08,2022-11-09,1.911073377414141e-05,1.911073377414141e-05,1.911073377414141e-05,0.0,1,0,2022,11
90,2022-11-10,2022-11-11,3.556604860932566e-05,3.556604860932566e-05,3.556604860932566e-05,0.0,1,0,2022,11
91,2022-11-11,2022-11-12,6.207695696502924e-05,6.207695696502924e-05,6.207695696502924e-05,0.0,1,0,2022,11
92,2022-11-13,2022-11-14,3.353150896145962e-05,3.353150896145962e-05,3.353150896145962e-05,0.0,1,0,2022,11
93,2022-11-14,2022-11-15,0.00018304285185877234,0.00018304285185877234,0.00018304285185877234,0.0,1,0,2022,11
94,2022-11-15,2022-11-16,9.31799368117936e-05,9.31799368117936e-05,9.31799368117936e-05,0.0,1,0,2022,11
95,2022-11-16,2022-11-17,3.6840789107372984e-05,3.6840789107372984e-05,3.6840789107372984e-05,0.0,1,0,2022,11
96,2022-11-17,2022-11-18,8.177608833648264e-05,8.177608833648264e-05,8.177608833648264e-05,0.0,1,0,2022,11
97,2022-11-18,2022-11-19,5.2886967750964686e-05,5.2886967750964686e-05,5.2886967750964686e-05,0.0,1,0,2022,11
98,2022-11-20,2022-11-21,6.198479240993038e-05,6.198479240993038e-05,6.198479240993038e-05,0.0,1,0,2022,11
99,2022-11-22,2022-11-23,4.6830293285893276e-05,4.6830293285893276e-05,4.6830293285893276e-05,0.0,1,0,2022,11
100,2022-11-23,2022-11-24,9.706451965030283e-05,9.706451965030283e-05,9.706451965030283e-05,0.0,1,0,2022,11
101,2022-11-24,2022-11-25,2.955620402644854e-05,2.955620402644854e-05,2.955620402644854e-05,0.0,1,0,2022,11
102,2022-11-25,2022-11-26,4.812025872524828e-05,4.812025872524828e-05,4.812025872524828e-05,0.0,1,0,2022,11
103,2022-11-26,2022-11-27,0.00014854352048132569,0.00014854352048132569,0.00014854352048132569,0.0,1,0,2022,11
104,2022-11-27,2022-11-28,0.00011088612518506125,0.00011088612518506125,0.00011088612518506125,0.0,1,0,2022,11
105,2022-11-28,2022-11-29,0.0001058713678503409,0.0001058713678503409,0.0001058713678503409,0.0,1,0,2022,11
106,2022-11-29,2022-11-30,9.521439642412588e-05,9.521439642412588e-05,9.521439642412588e-05,0.0,1,0,2022,11
107,2022-11-30,2022-12-01,3.7787871406180784e-05,3.7787871406180784e-05,3.7787871406180784e-05,0.0,1,0,2022,11
108,2022-12-01,2022-12-02,3.106152144027874e-05,3.106152144027874e-05,3.106152144027874e-05,0.0,1,0,2022,12
109,2022-12-02,2022-12-03,2.2586014893022366e-05,2.2586014893022366e-05,2.2586014893022366e-05,0.0,1,0,2022,12
110,2022-12-03,2022-12-04,5.277641685097478e-05,5.277641685097478e-05,5.277641685097478e-05,0.0,1,0,2022,12
111,2022-12-04,2022-12-05,4.831834667129442e-05,4.831834667129442e-05,4.831834667129442e-05,0.0,1,0,2022,12
112,2022-12-05,2022-12-06,9.001619037007913e-05,9.001619037007913e-05,9.001619037007913e-05,0.0,1,0,2022,12
113,2022-12-06,2022-12-07,0.00015124623314477503,0.00015124623314477503,0.00015124623314477503,0.0,1,0,2022,12
114,2022-12-08,2022-12-09,0.00016327050980180502,0.00016327050980180502,0.00016327050980180502,0.0,1,0,2022,12
115,2022-12-09,2022-12-10,0.0002813467872329056,0.0002813467872329056,0.0002813467872329056,0.0,1,0,2022,12
116,2022-12-11,2022-12-12,4.162954428466037e-05,4.162954428466037e-05,4.162954428466037e-05,0.0,1,0,2022,12
